matchId,tournament,date,map,team1,team2,winner,team1_rounds,team2_rounds,team1_first_half,team1_second_half,team2_first_half,team2_second_half,team1_opening_kills,team2_opening_kills,team1_clutches,team2_clutches,team1_most_kills_player,team1_most_kills,team2_most_kills_player,team2_most_kills,team1_most_assists_player,team1_most_assists,team2_most_assists_player,team2_most_assists,team1_most_deaths_player,team1_most_deaths,team2_most_deaths_player,team2_most_deaths,team1_most_damage_per_round_player,team1_most_damage_per_round,team2_most_damage_per_round_player,team2_most_damage_per_round,team2_least_kills_player,team2_least_kills,team1_least_assists_player,team1_least_assists,team2_least_assists_player,team2_least_assists,team1_least_deaths_player,team1_least_deaths,team2_least_deaths_player,team2_least_deaths,team1_least_damage_per_round_player,team1_least_damage_per_round,team2_least_damage_per_round_player,team2_least_damage_per_round,overall_most_kills_player,overall_most_kills,overall_most_kills_team,overall_most_damage_player,overall_most_damage,overall_most_damage_team,overall_most_assists_player,overall_most_assists,overall_most_assists_team,overall_most_awp_kills_player,overall_most_awp_kills,overall_most_awp_kills_team,overall_most_first_kills_player,overall_most_first_kills,overall_most_first_kills_team,overall_best_rating_2.0_player,overall_best_rating_2.0,overall_best_rating_2.0_team
82221,ECS Season 7 Europe Pinnacle Cup,2019-03-05 09:00,Mirage,Vitality,Chaos,Chaos,9,16,5,4,10,6,15,10,2,0,ZywOo,21,Bååten,27,NBK-,6,Relaxa,6,apEX,22,Relaxa,17,ZywOo,86.6,Bååten,107.5,djL,10,RpK,2,Bååten,3,ZywOo,18,Bååten,9,NBK-,47.8,djL,53.9,Bååten,27,Chaos,Bååten,107.5,Chaos,NBK-,4,Vitality,Relaxa,11,Chaos,ZywOo,7,Vitality,Bååten,1.68,Chaos
82215,ECS Season 7 Europe Pinnacle Cup,2019-03-05 09:00,Dust2,Vitality,Chaos,Vitality,19,17,8,7,7,8,15,21,2,2,ZywOo,34,Bååten,33,ALEX,7,PlesseN,8,apEX,30,Bååten,27,ZywOo,91.9,Bååten,90.8,djL,18,ZywOo,4,Relaxa,4,ZywOo,22,FREDDyFROG,21,apEX,58.6,djL,63.2,ZywOo,34,Vitality,ZywOo,91.9,Vitality,ALEX,6,Vitality,ZywOo,21,Vitality,PlesseN,8,Chaos,ZywOo,1.34,Vitality
82169,ESEA MDL Season 30 Europe,2019-03-04 10:00,Cache,Vitality,Valiance,Valiance,12,16,7,5,8,8,13,15,1,3,apEX,22,nexa,28,ZywOo,6,nexa,6,ALEX,25,EspiranTo,19,apEX,87.2,huNter,108.4,EspiranTo,10,RpK,2,ottoNd,4,ZywOo,19,LETN1,14,NBK-,52.2,EspiranTo,43.7,nexa,28,Valiance,huNter,108.4,Valiance,huNter,5,Valiance,ottoNd,13,Valiance,huNter,6,Valiance,nexa,1.56,Valiance
81722,IEM Katowice 2019,2019-02-21 04:25,Mirage,Vitality,Cloud9,Vitality,16,14,9,7,6,8,17,13,1,3,ZywOo,26,flusha,27,apEX,10,autimatic,11,apEX,22,flusha,24,ZywOo,97.4,flusha,105.7,RUSH,15,ALEX,3,kioShiMa,5,RpK,17,kioShiMa,19,RpK,56.8,kioShiMa,59.4,flusha,27,Cloud9,flusha,105.7,Cloud9,apEX,8,Vitality,ZywOo,19,Vitality,ZywOo,8,Vitality,ZywOo,1.43,Vitality
81661,IEM Katowice 2019,2019-02-20 03:00,Mirage,BIG,Vitality,Vitality,11,16,7,4,8,8,12,15,6,2,tabseN,24,apEX,30,nex,9,RpK,12,XANTARES,26,NBK-,20,nex,95.9,apEX,115,NBK-,11,tiziaN,1,ALEX,3,nex,20,apEX,15,tiziaN,32,NBK-,54,apEX,30,Vitality,apEX,115.0,Vitality,RpK,8,Vitality,ZywOo,7,Vitality,ZywOo,5,Vitality,apEX,1.81,Vitality
81485,IEM Katowice 2019 Main Qualifier,2019-02-15 03:00,Nuke,Vitality,ViCi,Vitality,16,12,7,9,8,4,15,13,0,1,RpK,24,aumaN,20,NBK-,5,aumaN,7,apEX,16,advent,23,NBK-,89.5,aumaN,91.8,advent,10,ZywOo,1,Freeman,1,ZywOo,14,Freeman,20,ALEX,56.1,advent,45.9,RpK,24,Vitality,aumaN,91.8,ViCi,NBK-,5,Vitality,Kaze,4,ViCi,ZywOo,6,Vitality,RpK,1.34,Vitality
81481,IEM Katowice 2019 Main Qualifier,2019-02-15 03:00,Inferno,Vitality,ViCi,Vitality,25,22,5,10,10,5,21,26,3,2,ZywOo,41,Kaze,42,apEX,9,zhokiNg,17,ALEX,34,zhokiNg,37,NBK-,91.4,Kaze,90.4,zhokiNg,25,ZywOo,6,Freeman,4,apEX,29,Kaze,28,apEX,63.6,Freeman,64.9,Kaze,42,ViCi,NBK-,91.4,Vitality,zhokiNg,13,ViCi,Kaze,20,ViCi,NBK-,8,Vitality,Kaze,1.38,ViCi
81470,IEM Katowice 2019 Main Qualifier,2019-02-14 03:00,Overpass,Vitality,Vega Squadron,Vitality,16,1,14,2,1,0,14,3,1,0,NBK-,23,tonyblack,6,apEX,8,crush,2,apEX,6,tonyblack,17,NBK-,131.4,jR,47.9,crush,3,RpK,2,tonyblack,0,NBK-,3,crush,16,apEX,82.2,crush,34.5,NBK-,23,Vitality,NBK-,131.4,Vitality,NBK-,5,Vitality,ZywOo,6,Vitality,ZywOo,5,Vitality,NBK-,2.31,Vitality
81418,IEM Katowice 2019 Main Qualifier,2019-02-13 09:25,Nuke,Vitality,Grayhound,Vitality,19,17,2,13,13,2,19,17,2,0,apEX,36,DickStacy,30,apEX,7,malta,7,RpK,25,dexter,26,apEX,94.7,DickStacy,93.5,malta,19,ALEX,3,sterling,1,apEX,22,sterling,22,ALEX,52.8,sterling,56.5,apEX,36,Vitality,apEX,94.7,Vitality,apEX,7,Vitality,ZywOo,18,Vitality,dexter,7,Grayhound,apEX,1.45,Vitality
81414,IEM Katowice 2019 Main Qualifier,2019-02-13 05:15,Inferno,TYLOO,Vitality,TYLOO,16,8,8,8,7,1,13,9,5,0,Summer,25,NBK-,22,Summer,7,apEX,8,somebody,18,ALEX,19,Summer,98.2,NBK-,96.4,apEX,11,AttackeR,3,NBK-,2,BnTeT,12,NBK-,17,xccurate,55,RpK,62,Summer,25,TYLOO,Summer,98.2,TYLOO,somebody,5,TYLOO,ZywOo,5,Vitality,somebody,5,TYLOO,Summer,1.72,TYLOO
